g1,g2,cv_score,median_regret,mean_regret,num_finite,total_fallback_uses,trials_with_fallback,median_fallback_uses,max_fallback_uses,fold_1,fold_2,fold_3,fold_4,fold_5
0.01,0.001,-9.852656314203447,-16.03521826627369,32.86327904149626,40,0,0,0.0,0,124.85550927548141,15.514783046118499,-80.2590336945965,14.534720832576191,-123.90926103059685
0.01,0.01,-9.849233287899711,-16.097865362124896,32.75058016365159,40,0,0,0.0,0,125.23219536143063,15.190697031941706,-80.34905722175657,14.507469133308092,-123.82747074442241
0.001,0.001,-9.848994831952458,-16.03732727929669,32.83608632897476,40,0,0,0.0,0,124.87395822256866,15.539767451488569,-80.25776378519183,14.528203877145717,-123.9291399257734
0.0001,0.001,-9.848627385500915,-16.037535572109945,32.8367692262262,40,0,0,0.0,0,124.87580166805483,15.542265850900137,-80.25763530505697,14.527555048402471,-123.93112418980505
1e-05,0.001,-9.848590627900398,-16.03755637535221,32.83683751740309,40,0,0,0.0,0,124.87598599812418,15.542515690421308,-80.25762244217972,14.527490194148232,-123.93132258001599
0.001,0.01,-9.845800011306034,-16.100316794204538,32.757373544840554,40,0,0,0.0,0,125.25054937277892,15.215713067468444,-80.34799929435877,14.50057880239401,-123.84784200481278
0.0001,0.01,-9.845455419812248,-16.100559237649833,32.75805301442513,40,0,0,0.0,0,125.25238287069683,15.218214648085779,-80.34789195813411,14.499892731203063,-123.84987539091281
1e-05,0.01,-9.8454209480492,-16.100583455045303,32.75812096269466,40,0,0,0.0,0,125.25256620148468,15.21846480590952,-80.34788120910609,14.499824153651732,-123.85007869218585
0.01,0.0001,-9.840879314560677,-16.02882450930928,32.8775794917362,40,0,0,0.0,0,124.87803696906467,15.547156825469232,-80.2499435028481,14.537585904681418,-123.91723276917061
0.01,1e-05,-9.839701023718131,-16.02818386061145,32.844975952255915,40,0,0,0.0,0,124.88028874415157,15.550393852135848,-80.24903361623763,14.537873792771238,-123.9180278914117
0.001,0.0001,-9.837201565873627,-16.030899933433762,32.85037743203223,40,0,0,0.0,0,124.89646463180661,15.572137940010519,-80.24865278732936,14.531105607619123,-123.93706322147501
0.0001,0.0001,-9.836832497659278,-16.03110487626497,32.851060622019055,40,0,0,0.0,0,124.89830595196442,15.574636008576414,-80.24852223185879,14.530460435425482,-123.93904265240391
1e-05,0.0001,-9.836795577930337,-16.031125344598053,32.85112894246079,40,0,0,0.0,0,124.89849006953435,15.574885814994984,-80.24850916150017,14.530395946733552,-123.9392405594144
0.001,1e-05,-9.836021651798731,-16.03025593227089,32.85180669762606,40,0,0,0.0,0,124.89871428100706,15.575374636344693,-80.24774082395848,14.531397154860723,-123.93785350724767
0.0001,1e-05,-9.835652421748113,-16.03046054074576,32.852489916816594,40,0,0,0.0,0,124.90055538888691,15.5778726717014,-80.24761006133807,14.53075234765457,-123.9398324556454
1e-05,1e-05,-9.835615485840483,-16.030480975651287,32.852558240177835,40,0,0,0.0,0,124.90073948523083,15.578122474797224,-80.24759697026977,14.530687895452601,-123.94003031441329
